e_mail,phone_number,address,age,sex,family
rjsdn315@gmail.com,010-5653-5259,서울시 관악구 남부순환로 161길 45,24,M,4
kc7581gx8jr@daum.net,010-9373-6890,강원도 철원군 갈말읍 지포리 33 외,86,W,11
ek8vh9f@daum.net,010-4885-9096,"인천광역시 남구 학익동 48-1 신동아1,2차아파트 인근",31,W,8
5fwfa@naver.com,010-2591-4696,경기도 안양시 만안구 안양9동 1082,32,W,10
40cwlbwi1@naver.com,010-9821-4575,경상남도 창원시 성산구 사파동 137-8,70,W,3
oaid6y8f@daum.net,010-6151-5465,충청북도 영동군 황간면 목화실길 34,73,M,10
up3hs26bx8b@naver.com,010-8067-9544,경기도 시흥시 정왕동 2044 (오이도해양단지) ,61,W,1
rs8k@google.com,010-9499-6294,충청남도 천안시 서북구 불당동 910,41,M,5
xikntqywux@daum.net,010-9595-6259,충청남도 서산시 동문동 982-4,81,M,12
9ptbs8tzxk@daum.net,010-8537-4085,경기도 의정부시 신곡1동 720-1,23,W,7
e95fa@google.com,010-1079-6383,강원도 춘천시 거두리 945-1 외3,70,M,11
xa3h@google.com,010-9319-1883,경기도 안양시 동안구 관양동 1590번지 안양시청,66,W,11
e4i2w8de@daum.net,010-2193-4271,강원도 고성군 현내면 대진리 179,35,M,2
ktvj980daky@naver.com,010-6926-2333,강원도 영월군 영월읍 방절리 223-4,101,W,11
0rfsotbed3xt@daum.net,010-8821-6294,전라북도 고창군 아산면 삼인리 126,62,M,6
erirn@naver.com,010-5456-2256,전라북도 완주군 용진읍 용흥리 842-2필지,33,M,8
pvxapuxqb5jo@google.com,010-5995-6993,인천광역시 중구 전동 31-8,60,W,1
gfkajmi44n@daum.net,010-9872-5934, 대구광역시 수성구 신매로 6 ,43,M,10
4u47nsmu@naver.com,010-5545-4173,강원도 영월군 영월읍 덕포리 555-1,39,M,8
ruiw1gj1@naver.com,010-1511-6331, 대구광역시 칠성2가 407-8 ,56,W,6
39ygyskt5mlbx@naver.com,010-5056-3892,전라남도 완도군 완도읍 해변공원로 123,51,M,12
hv0thmzheixh@google.com,010-4550-6066,경상남도 창원시 의창구 소답동 365번지 일대,67,M,5
q08u@daum.net,010-4287-9504,경상남도 함안군 가야읍 도항리 58-132,67,W,7
9dzsf@google.com,010-5646-6418,부산광역시 사하구 구평동159-1,58,M,4
abzh4ec95@daum.net,010-7130-4441, 대구광역시 북구 대동로1길 40(산격동) ,59,W,2
bjnoe95zdz@google.com,010-3759-3253,경상남도 창원시 성산구 성주동 83-2,45,M,4
u3jvatozyo@google.com,010-7482-4314,전라남도 보성군 벌교읍 홍암로 89-19,62,M,9
kzso8t0hew0@naver.com,010-2257-4061,인천광역시 동구 창영동 22-8.9.10,54,W,7
xlddkur63h2v@naver.com,010-1935-3601,경상남도 의령군 지정면 태부리 383번지,57,W,12
ijlzl8j@daum.net,010-4947-3823,충청남도 공주시 웅진동 제일약국 앞,48,W,2
bv2mei1ff8h@daum.net,010-7497-5925,강원도 강릉시 홍제동 97-4외1,56,M,9
yr1vj8xi9xze4@google.com,010-9338-3780,경상남도 의령군 의령읍 정암리 346번지 1호,34,M,4
t720ey45t1tb@daum.net,010-5212-6554,충청북도 영동군 추풍령면 죽전길 107,99,M,11
xyjzbf@google.com,010-1717-3202,경기도 고양시 일산동구 중산동 1659,34,M,1
uj0ay7r@naver.com,010-1376-3610,경상남도 창원시 진해구 여좌동 99-23일원,30,M,10
8su7r@google.com,010-4010-7412,충청남도 서천군 한산면종지리244,100,W,8
jfudkmb3meziz@naver.com,010-3251-3745,전라북도 익산시 여산면 호산리 산 9-42,75,W,1
wjod@google.com,010-1488-5654, 대구광역시 북구 구암동 ,93,W,11
